Exercise_1,Exercise_2,Exercise_3,Exercise_4,Exercise_5,Exercise_6,Exercise_7,Exercise_8,Exercise_9,Exercise_10,Exercise_11,Exercise_12,Exercise_13,Exercise_14,Exercise_15,InjuryScore
15,15,16,17,17,18,18,20,20,20,17,18,22,23,23,0.6772785836196901
16,14,16,17,20,18,17,18,19,18,18,20,21,21,21,0.680205786007105
2,4,4,6,6,10,5,9,10,9,7,6,11,11,11,0.2445618988237458
16,16,16,18,17,18,18,19,20,17,18,19,23,22,21,0.8601634363152793
15,14,14,18,19,18,19,18,17,17,19,18,22,23,21,0.6874679099617725
4,1,2,5,8,8,7,10,5,10,6,9,13,11,12,0.4279410654008672
2,1,4,5,10,5,6,10,8,8,5,5,11,11,11,0.08009817009867704
16,16,14,18,20,17,19,17,17,20,18,18,21,21,21,0.8643394041047497
16,14,14,18,20,20,19,18,20,18,19,20,22,23,21,0.7038421782462825
14,15,16,18,18,19,18,19,18,19,20,19,21,21,21,0.5512406956479949
15,14,16,20,18,19,20,20,17,19,20,18,23,21,22,0.90693187522654
4,4,4,8,9,7,7,6,5,6,8,10,11,11,12,0.418342578036603
4,3,2,8,6,6,9,5,6,6,5,9,11,13,12,0.37386455687084386
15,15,15,19,19,17,18,19,18,17,20,17,23,23,21,0.6619281379142397
1,2,3,5,8,9,5,7,6,5,9,5,13,13,13,0.26307031804892256
16,16,15,20,18,18,18,19,17,19,20,18,22,21,21,0.7334860558517755
16,15,14,20,20,17,20,17,17,17,17,17,23,23,23,0.8055117467235892
2,1,4,5,5,10,7,5,10,10,6,5,12,11,11,0.43184359101200154
1,3,1,10,10,6,6,9,6,7,9,5,13,12,13,0.49249689261905105
15,15,16,17,17,20,20,19,17,20,17,20,22,21,23,0.685572165479205
16,14,14,18,19,17,19,19,19,17,20,18,21,21,23,0.5347515865126665
14,16,14,19,19,20,20,18,19,17,18,17,21,21,21,0.7910100962019695
15,16,16,20,18,19,17,17,20,18,19,18,21,22,22,0.5406941527165233
14,15,15,20,20,19,19,19,19,19,17,19,23,23,22,0.7834506345487909
2,3,3,8,5,7,9,7,5,7,5,5,12,13,13,0.15385382591188212
3,3,2,6,6,10,6,5,5,10,10,9,13,12,12,0.14660490121238923
2,2,3,8,6,7,6,9,5,8,7,6,11,13,11,0.49955210549418394
3,2,4,6,5,9,5,9,8,5,8,8,13,13,12,0.4943623376285031
4,3,4,6,8,5,6,9,7,5,6,9,12,12,13,0.40220690062338826
14,16,14,20,20,20,20,17,17,20,17,19,22,23,21,0.6406028269337181
15,16,16,19,17,18,20,20,17,20,20,19,21,22,23,0.7125118284306947
16,14,16,18,17,17,20,18,19,18,18,17,23,22,22,0.6930501483928282
3,3,1,7,6,7,5,10,8,6,9,7,11,11,12,0.06246718501826354
2,4,2,10,9,10,7,7,10,9,6,5,12,13,11,0.2813533511796057
1,2,1,10,6,8,5,6,5,10,10,6,12,12,12,0.45050943700856916
3,4,3,7,7,8,10,10,10,6,7,5,12,11,13,0.24760109488462356
4,3,4,5,9,10,9,5,9,6,7,10,13,13,11,0.38680853740746635
1,1,1,7,8,10,8,6,6,8,5,10,12,11,12,0.19310933168358146
1,4,3,8,7,9,9,6,9,10,9,10,11,11,11,0.43974368184910395
1,1,1,7,5,7,6,5,8,9,9,8,12,11,12,0.23293520545132296
15,16,16,20,19,19,18,18,18,18,18,20,22,23,23,0.8550392825974593
14,16,14,20,17,18,18,20,17,17,18,19,23,21,23,0.9270528420768069
16,15,15,17,19,18,18,18,19,20,19,18,22,22,23,0.7715274151712391
1,4,4,7,6,9,6,10,8,10,6,10,13,11,13,0.374697748046792
14,14,15,19,17,20,17,19,17,17,17,19,22,21,22,0.5659019264241117
14,14,16,20,18,17,17,17,17,18,19,18,22,21,23,0.8208429810753175
3,1,1,8,10,10,8,9,10,9,7,7,13,11,11,0.04538460969966407
2,1,4,6,6,10,10,10,5,8,9,10,13,13,11,0.2269158202531526
1,2,4,6,5,9,8,9,5,10,5,7,13,11,13,0.48762156853568095
16,15,14,17,18,18,17,20,17,19,20,20,21,23,23,0.6485759980424424
16,16,16,17,17,17,17,20,19,18,20,17,23,23,22,0.6186825777028855
3,3,1,6,10,7,10,5,8,5,6,9,11,11,11,0.2041842964474786
3,4,4,8,5,8,10,8,5,5,6,5,13,12,12,0.36853280095794183
4,4,1,8,8,9,9,6,10,9,6,10,11,11,13,0.0011680625005945355
15,16,16,19,20,20,19,18,20,17,18,18,22,23,23,0.8695876144175642
2,2,4,7,7,8,10,10,6,9,6,7,11,13,13,0.08299339931348648
16,14,15,19,19,19,17,17,19,18,18,17,22,21,21,0.7887023125943421
16,15,16,18,20,19,20,19,18,19,17,18,23,23,22,0.613359154733517
3,1,3,6,6,9,9,7,7,8,6,5,13,12,11,0.13977475184235766
2,1,3,6,7,5,7,9,7,7,8,8,13,12,13,0.11251592230586671
4,1,2,8,8,5,5,10,5,7,9,7,12,12,11,0.2570312754309202
15,16,14,19,17,18,20,20,20,20,17,18,21,22,23,0.944343369364497
1,2,3,9,8,6,9,8,10,10,5,10,12,12,12,0.4302452666093598
4,4,1,9,10,10,8,8,10,6,10,10,11,13,12,0.06255260142719477
16,14,14,19,17,19,17,20,17,17,20,17,22,21,23,0.6852936447960094
3,2,4,9,9,5,5,8,8,6,7,6,11,13,12,0.006307617330160498
2,2,1,9,6,7,9,8,8,8,7,8,13,12,12,0.45830211659656683
16,14,14,18,20,20,20,19,20,19,20,18,23,22,23,0.8994459984578783
2,1,1,8,10,7,7,7,10,8,8,6,11,11,13,0.346373924619943
15,15,14,19,17,19,17,17,19,19,19,18,23,21,22,0.5856336476225003
3,3,4,8,5,9,5,5,5,8,7,5,12,11,12,0.17206180007148608
15,16,16,18,19,18,17,17,18,17,20,17,21,23,22,0.9907516280767183
14,15,15,19,19,20,20,19,17,18,17,18,21,23,22,0.61585156869674
4,2,4,10,6,6,7,9,5,5,6,7,12,13,13,0.19471466096937506
14,15,16,20,20,20,20,17,18,19,20,17,22,23,23,0.5135947803315354
15,14,14,20,18,17,19,18,20,18,18,17,22,22,23,0.8188984393610498
15,14,16,19,17,20,17,18,19,19,19,18,23,22,22,0.5585164738955098
15,15,15,19,19,18,20,18,19,18,20,20,21,21,22,0.8859516247424728
15,15,15,19,17,20,19,19,17,17,18,17,23,21,22,0.8023626784509131
2,3,2,7,7,10,5,10,9,7,10,9,13,12,11,0.17216979946839628
3,2,2,6,5,6,9,6,9,5,5,5,11,13,12,0.1951278554250978
14,14,14,19,20,17,17,17,17,20,19,19,22,21,21,0.8466999422834866
15,15,15,18,20,17,20,18,19,19,20,19,22,23,21,0.6443804357749678
2,3,4,9,5,8,5,6,6,8,9,8,11,12,13,0.3357750755728688
3,2,1,9,8,7,6,5,7,10,9,6,13,11,13,0.4774179214841182
4,3,2,10,6,9,10,7,8,5,9,7,13,12,13,0.21896765938229035
16,15,14,17,19,17,19,18,20,20,20,18,21,21,23,0.815831751674382
15,14,14,20,19,19,19,17,19,19,20,17,23,21,21,0.5325644892244593
3,2,4,7,5,8,6,5,8,8,9,5,13,12,13,0.27980296310092967
2,2,1,8,6,5,5,8,7,5,6,6,11,12,11,0.2495968469833837
4,2,4,7,9,10,8,8,8,5,10,5,13,13,12,0.39392725000742745
4,1,1,6,10,9,5,5,7,6,5,5,12,12,13,0.019255823299216712
14,15,16,20,20,17,19,19,20,19,20,18,23,21,23,0.8956154393162615
16,14,16,18,17,17,17,20,18,18,20,20,21,23,23,0.577767027603462
15,16,14,17,17,20,18,18,18,20,17,20,22,22,23,0.8244951836414032
4,2,2,8,5,8,10,8,8,10,8,9,12,13,13,0.18164236808411316
3,1,4,9,9,5,5,7,10,10,5,6,12,12,12,0.030352000795225487
14,14,16,17,18,19,18,18,18,19,20,18,23,23,23,0.6734832879490218
16,14,16,17,17,18,18,19,19,17,20,18,23,21,22,0.6696466178413143
16,14,16,20,20,18,19,19,20,20,17,17,22,22,21,0.5787589222542914
3,2,2,9,9,8,6,6,5,10,8,5,11,12,13,0.256631237185324
3,1,4,9,9,8,7,7,9,9,9,8,13,12,11,0.22700549717172414
15,15,16,20,18,18,19,20,17,19,17,19,21,22,22,0.612695345236717
2,3,1,8,8,10,8,8,5,9,10,10,11,13,12,0.13049857920512753
16,14,15,17,19,20,20,17,17,17,17,17,23,22,23,0.7202053815636819
16,15,15,20,17,17,18,17,17,20,17,17,22,23,23,0.7343197148603156
15,14,14,17,18,20,20,20,18,19,19,20,23,22,23,0.9574095483132768
3,1,3,6,8,10,10,7,7,9,9,9,12,11,12,0.0818742723214323
15,15,16,18,20,20,19,19,19,17,18,17,22,21,21,0.7584263375408536
15,16,15,17,18,20,19,20,18,18,17,18,23,21,23,0.5305546966633445
16,14,14,17,18,19,20,20,19,17,18,17,22,23,23,0.6964713263910597
15,14,14,18,18,19,17,18,18,20,19,19,21,22,23,0.7396410509202591
1,2,2,6,7,6,8,5,8,9,5,6,12,13,11,0.38993798352324693
4,1,4,8,8,10,5,8,5,10,8,8,12,12,13,0.06629307413026786
2,4,3,7,6,7,9,9,9,5,8,5,12,12,12,0.028778136232429863
3,1,2,8,5,10,10,7,8,5,7,7,11,13,12,0.16993028648083974
16,15,15,18,17,18,18,18,20,18,18,18,21,22,21,0.8723718266647955
14,14,16,17,18,20,17,17,20,18,20,19,22,23,21,0.8246535484149691
3,3,2,7,5,10,8,8,5,6,8,7,11,11,11,0.303751851537565
3,4,1,10,9,9,10,9,6,7,5,9,12,11,12,0.09675724812987008
16,16,16,18,19,20,19,19,19,19,17,17,23,21,21,0.9067554507686284
4,1,4,7,10,10,9,8,10,7,5,5,13,12,12,0.3028014689239027
14,16,16,19,17,18,19,18,20,18,20,19,21,23,22,0.7072085606332702
2,3,3,9,7,5,8,9,6,8,10,7,12,12,11,0.3848490757717318
1,3,3,7,8,9,6,9,7,7,6,7,13,11,12,0.11061793171950196
1,2,3,7,6,5,10,9,9,5,7,10,13,11,11,0.2668586178977893
15,14,15,19,18,20,17,20,18,20,18,18,21,22,22,0.759565976393819
16,16,16,18,19,17,17,18,17,20,17,17,21,23,23,0.6977942465768712
16,15,14,17,20,18,20,20,18,18,19,18,22,22,23,0.8637665297909264
4,3,1,8,6,5,8,7,6,9,5,10,11,11,13,0.41881639400618165
4,2,2,6,8,7,6,7,7,10,5,8,12,11,13,0.4395615128666781
3,1,2,8,5,9,7,9,5,5,5,5,13,12,12,0.19858921753246273
16,15,15,19,17,20,19,19,20,18,19,18,22,22,21,0.8828556492642744
14,14,15,20,18,18,20,18,17,18,17,20,23,22,23,0.6763965252743226
1,4,4,5,5,8,9,6,10,7,10,10,11,11,11,0.1956385941080353
4,1,4,10,5,6,7,8,10,9,8,10,13,11,12,0.3499459746798237
2,1,2,9,5,7,8,8,8,10,5,9,12,11,11,0.128876581826757
14,14,15,20,20,18,18,17,19,18,18,20,21,22,23,0.5633458022584753
14,16,15,19,19,20,20,19,18,19,17,18,22,23,23,0.7921137240964312
2,2,2,10,8,10,10,9,6,10,9,6,12,11,11,0.23285372213682765
3,3,2,9,10,10,9,6,8,9,5,8,11,11,12,0.20589018005460435
14,16,15,18,18,17,18,18,19,20,17,20,21,22,23,0.8222611822464467
16,14,16,20,18,18,17,20,20,18,20,18,21,23,22,0.948842049942605
15,16,15,20,17,18,17,18,17,19,17,19,21,23,22,0.7044420401089885
14,15,14,19,20,17,18,19,18,19,18,18,23,23,23,0.5297073669227896
4,1,2,7,7,7,7,5,8,6,7,8,13,12,12,0.4792697192081361
14,14,16,19,17,18,19,18,19,18,18,17,22,23,23,0.5926234896760333
15,16,15,18,17,17,18,19,20,19,19,18,23,22,21,0.6945104269675395
1,1,3,9,6,6,7,9,6,8,7,5,13,12,12,0.04684420721337956
16,14,15,17,19,19,17,17,20,17,20,20,21,22,22,0.6303153157828421
2,1,4,8,6,6,8,9,7,6,6,10,12,11,11,0.3099978979088984
14,16,14,20,17,19,20,20,18,18,17,18,21,22,23,0.6339758710763339
15,16,16,17,20,17,20,19,20,20,19,20,21,21,23,0.6356168817941454
3,1,3,5,6,9,8,5,10,8,10,7,11,13,12,0.4352564700375796
1,1,1,5,10,6,5,8,8,7,8,5,12,12,12,0.3058499835689854
1,4,4,6,8,9,7,6,9,6,10,6,13,13,11,0.1374064896239331
14,14,14,19,17,18,20,18,18,19,19,17,21,23,21,0.6267542784311936
3,3,2,7,9,8,7,8,5,6,6,8,12,12,12,0.15283519639781662
15,14,14,20,19,20,17,20,19,17,19,20,22,22,21,0.5518132015837538
3,3,3,9,7,10,5,8,6,5,6,8,11,12,11,0.21528089137687234
15,15,14,17,17,19,18,19,19,19,18,20,22,22,22,0.706910032686474
16,15,14,20,20,18,17,19,18,18,19,19,22,23,23,0.5732214172232235
4,3,4,8,5,5,7,10,8,10,6,5,11,12,12,0.1600029665434285
15,16,15,18,18,18,18,19,18,18,19,18,23,23,21,0.7948572388036353
1,4,1,5,5,10,7,7,5,9,8,5,13,13,12,0.27365082075714386
15,15,15,17,17,19,18,20,19,20,17,19,21,21,23,0.959874959054109
16,16,16,18,17,20,20,20,18,17,19,17,23,22,23,0.6567925215171551
15,14,16,19,20,17,20,17,18,20,19,18,22,21,21,0.6593687054728197
14,16,16,19,18,17,17,19,20,19,18,17,21,23,22,0.7951041590022856
15,15,14,18,17,18,20,20,20,17,18,18,21,23,22,0.8581176427319339
2,1,1,9,9,10,6,6,9,8,8,6,13,13,13,0.3520284955361318
16,14,14,19,17,18,20,20,17,17,18,17,22,22,21,0.7199492394704855
3,1,1,5,5,9,6,7,9,7,8,6,12,11,11,0.2523678730205071
2,2,2,10,6,10,8,9,8,5,7,10,13,12,13,0.48872234588218466
2,4,2,10,5,6,6,9,10,5,8,10,12,13,11,0.17344229455602522
4,3,2,7,5,6,8,5,10,8,5,7,13,12,12,0.0904290020092905
1,4,2,9,9,5,7,8,7,8,5,6,12,11,11,0.43328420313708316
3,2,1,8,8,8,10,5,9,7,5,5,12,12,13,0.3476233489107101
14,15,15,19,20,19,20,20,20,17,18,19,21,22,22,0.8607720208399833
14,14,15,18,19,20,19,19,19,17,18,19,21,23,23,0.8179921470750878
16,16,14,18,20,20,18,19,19,19,20,20,22,21,23,0.9288724514189496
3,3,4,9,6,10,8,10,6,7,6,8,13,13,12,0.4101086516769985
15,16,14,19,19,17,18,20,20,18,19,17,22,23,23,0.9602038865629156
4,1,4,6,9,9,9,9,10,6,9,5,13,12,11,0.17789602698566198
3,4,2,5,7,6,5,7,10,6,7,10,13,13,11,0.0579240582174777
3,1,1,5,9,7,9,10,10,5,6,9,11,13,12,0.2769424640228586
4,2,4,8,8,8,7,6,9,7,6,5,11,11,11,0.4291827301965654
4,4,3,9,6,5,9,7,5,8,5,5,13,11,13,0.14766103660087693
2,1,3,9,5,5,10,5,6,7,9,5,12,13,11,0.11704390190701786
14,14,16,20,18,19,20,18,19,18,19,19,23,23,22,0.8725092610576366
15,15,14,19,18,17,18,19,17,18,19,19,22,22,22,0.569958781637174
3,2,2,7,6,10,8,9,5,9,5,5,11,13,12,0.2982154933982648
4,4,3,9,6,7,9,6,5,8,10,8,12,13,13,0.1054018863780114
14,15,16,19,17,19,20,20,18,18,20,20,23,21,21,0.8664048954488586
4,2,2,9,10,5,5,7,7,9,9,10,12,12,13,0.15377385120227538
16,15,14,20,17,19,20,18,20,18,20,20,21,22,21,0.6072683398428074
15,14,15,18,19,17,19,17,18,18,18,18,21,21,22,0.6523191593583872
1,3,1,10,7,7,8,7,8,5,5,6,13,11,13,0.03297057994470298
2,1,2,5,5,5,8,7,8,10,7,5,13,11,13,0.40496769708390923
3,1,3,5,7,6,8,5,8,5,6,8,13,12,11,0.0878323057441518
14,14,15,20,19,20,19,17,20,17,19,19,22,22,23,0.6363140052381501
15,16,16,18,19,17,20,18,19,19,17,20,22,21,21,0.704332492593667
2,2,4,8,5,7,9,7,6,5,7,5,12,13,13,0.4208481498542711
14,14,14,18,20,18,18,20,17,20,20,19,23,22,23,0.6749708117052053
16,14,14,19,20,17,18,18,20,19,17,19,22,21,21,0.8661037347598702
2,2,2,7,8,6,6,7,8,7,8,9,11,11,13,0.18947808260166565
16,16,14,19,20,18,17,19,20,18,17,19,21,21,22,0.9800074591276683
15,14,14,18,17,19,17,20,18,18,19,18,23,23,23,0.7227174261459955
15,16,16,19,18,17,19,19,18,18,17,18,23,23,22,0.7878467010114651
14,14,14,18,18,20,17,17,18,19,20,20,22,22,22,0.5060144128772538
15,16,16,19,18,20,19,17,18,20,18,20,22,23,23,0.6968939385463241
15,15,15,20,19,18,18,20,20,17,19,19,21,22,22,0.8949125911482736
16,16,14,18,17,20,18,19,17,18,20,18,22,21,22,0.7727326819905111
15,16,14,20,19,18,18,18,19,17,17,19,23,21,23,0.8643417688275858
16,16,16,19,17,18,17,18,19,18,19,18,23,23,21,0.5225788896051282
3,2,3,8,10,10,7,9,10,10,6,9,12,13,12,0.0491964112261547
2,2,1,8,7,8,9,6,5,7,9,10,12,13,12,0.10755163275019419
2,1,1,6,8,6,9,9,9,9,10,10,11,11,12,0.46707614699462274
14,14,16,20,19,17,18,20,18,19,20,18,21,23,23,0.5930935671483352
1,2,3,6,7,6,6,7,8,5,7,6,12,12,11,0.2962214758529724
2,4,2,7,7,8,10,7,9,7,8,10,13,12,11,0.2235760293739223
16,16,16,17,19,19,19,18,18,17,19,17,22,22,22,0.7589535068193926
14,14,16,20,17,18,18,18,20,18,18,17,22,22,23,0.8959825311780039
2,4,2,9,5,9,7,8,6,6,5,9,11,12,12,0.25011950881708345
1,1,2,9,8,10,5,5,6,9,5,5,13,12,13,0.36994018363519565
4,2,1,10,5,7,7,9,8,8,8,5,11,13,11,0.15573204485245862
16,15,15,18,19,19,20,19,18,19,17,17,23,21,21,0.9986469317459828
3,2,3,6,10,10,9,8,9,8,5,5,11,11,13,0.4043745035846683
2,3,3,9,10,10,8,8,9,8,10,8,13,12,11,0.4979328332622147
14,16,14,18,17,20,19,19,17,19,20,18,21,23,22,0.8131808398615704
3,2,3,8,8,5,5,5,10,6,5,8,11,13,13,0.4478841467612147
14,15,15,18,17,19,18,18,17,20,20,19,21,22,22,0.9480465813512393
1,3,1,9,7,6,6,9,5,5,9,8,12,12,11,0.21150271182898905
15,14,16,19,17,19,18,19,20,20,18,18,23,21,21,0.5432818930163753
3,2,1,7,9,8,5,10,8,10,5,6,11,13,13,0.16116505088725508
14,15,15,18,20,17,17,17,17,17,19,17,22,22,23,0.6249144842183312
16,14,16,19,19,18,20,20,19,20,19,17,22,23,21,0.7214032411576526
1,2,1,10,6,10,6,10,10,5,6,5,11,12,11,0.10244035732395351
14,16,15,17,17,20,18,17,20,19,18,18,23,21,23,0.7649343560311465
3,3,4,10,6,6,6,5,10,6,8,6,11,12,13,0.20174059195450655
3,2,2,8,6,5,9,9,7,5,5,5,11,11,12,0.24265091429789976
1,3,1,8,9,7,9,8,7,5,10,9,13,12,11,0.29203362090783946
2,1,3,9,8,6,10,5,9,8,8,7,13,12,13,0.40897146049806066
3,4,1,10,9,7,6,8,8,7,9,7,13,11,11,0.24265642903675588
1,2,2,6,5,10,7,7,7,9,8,10,13,12,11,0.2032143261851065
14,16,15,20,20,20,18,17,18,19,20,19,23,22,23,0.7123358913840558
15,14,15,20,19,18,17,20,18,20,19,18,21,22,22,0.9607547497820123
2,3,2,7,10,7,6,8,8,6,5,7,11,13,11,0.2442887480359589
4,3,4,5,9,6,6,9,7,7,9,6,13,12,12,0.3856554611434154
3,3,1,10,7,6,10,5,6,5,9,7,11,12,12,0.4403952611634713
14,14,14,18,20,20,20,20,20,20,20,17,21,23,21,0.9367211349839337
16,14,16,17,19,20,20,19,19,18,17,17,21,23,23,0.5000351350046599
15,15,15,20,17,18,17,17,18,19,17,19,22,23,21,0.7316879721270391
3,2,3,10,6,7,10,5,9,9,8,9,12,11,11,0.10339604303945615
1,4,2,6,10,7,8,8,6,8,10,8,11,11,13,0.3749538452643144
4,3,2,6,5,10,10,5,8,8,8,9,12,13,11,0.3281317910628917
16,16,16,18,18,18,17,17,18,20,18,18,22,22,21,0.537122615689498
2,1,4,10,7,5,9,5,7,9,6,10,12,11,13,0.33268253597727715
15,16,16,20,18,20,20,19,17,17,19,18,21,23,21,0.8776315971389432
1,3,4,10,7,9,7,5,9,10,10,10,12,11,13,0.4473127217113133
14,15,16,20,19,17,18,18,17,17,20,18,22,23,22,0.9049692064886767
14,16,16,20,17,18,18,18,19,20,20,19,22,23,21,0.5547766716468167
3,4,4,9,7,7,6,5,6,10,6,5,11,12,12,0.3641216651066954
15,16,15,17,19,19,20,19,20,19,19,20,23,21,21,0.7402081255165313
15,16,16,18,18,18,17,18,20,17,20,20,22,23,22,0.7049228396637779
3,4,3,9,7,9,6,5,7,9,6,9,11,11,12,0.20933767934177294
3,3,2,6,8,5,10,9,8,7,6,5,12,11,11,0.09695014529246249
14,16,15,17,19,18,19,18,19,19,17,18,23,22,22,0.6488492816312873
4,2,2,5,7,8,6,6,9,5,9,6,13,13,12,0.10464357781065259
4,1,1,5,6,10,10,9,5,7,8,6,13,11,11,0.12779816526702537
15,16,14,18,18,20,19,20,19,19,20,20,21,22,22,0.7057676498499834
3,4,4,5,8,6,8,9,10,6,10,8,12,12,12,0.3742994560400611
14,16,14,17,19,19,18,19,18,20,19,19,23,21,23,0.8455502892598288
3,3,2,10,9,5,7,10,5,7,9,7,13,13,11,0.1549494416273619
3,2,4,7,6,9,5,8,5,10,5,10,12,11,13,0.025540338842796162
14,15,15,18,18,20,19,18,19,18,18,17,21,22,23,0.7747023144256184
4,3,3,6,7,6,7,6,9,5,7,9,12,12,11,0.3360807693918141
4,1,1,6,7,5,10,5,9,10,6,9,11,11,12,0.40885350346880045
1,3,1,6,5,6,9,9,9,5,7,10,13,11,11,0.46732492935645287
1,2,1,7,8,8,9,10,5,10,10,9,11,12,13,0.4353640780394633
3,4,2,10,8,6,8,9,6,10,8,9,11,11,12,0.37848218119939836
14,15,15,18,20,18,19,18,20,19,17,19,21,21,21,0.7314086546434707
3,3,1,5,7,6,8,9,9,10,9,10,12,11,12,0.08598994786807057
4,3,1,7,10,8,10,9,6,6,8,6,12,12,12,0.4938308727871429
3,3,2,7,5,6,10,7,7,7,10,8,13,12,13,0.496034904702467
15,15,15,19,18,20,17,17,19,19,17,17,22,22,22,0.9864955471516412
14,15,14,17,17,20,19,20,20,17,20,19,21,22,22,0.8390620660555251
2,1,2,8,8,6,8,6,5,6,7,7,13,13,12,0.20757974499664023
3,4,3,10,7,8,6,10,5,5,10,9,12,11,13,0.2659582142779615
16,14,14,19,19,18,20,19,18,19,19,18,22,22,21,0.703473295783079
16,14,16,20,18,19,20,18,20,19,20,18,21,23,23,0.8039061140495716
15,16,15,19,17,18,20,19,17,20,18,20,23,21,21,0.931139625370247
1,4,1,7,10,9,6,9,10,10,5,7,13,11,12,0.4264197451769757
4,4,1,10,6,8,8,8,5,10,5,10,11,12,13,0.09412031858506076
4,4,2,5,8,6,10,5,10,5,6,8,13,13,11,0.39142821584594734
15,16,16,19,18,18,18,19,19,20,20,17,21,23,22,0.7466789132700338
1,1,1,8,10,6,5,10,10,9,10,5,11,13,13,0.3534063830077939
4,3,3,10,5,9,6,5,9,9,9,9,12,11,11,0.09871574841160502
15,16,16,19,17,18,17,19,20,19,19,20,21,22,23,0.546947435330783
3,1,2,5,9,6,7,10,7,10,6,8,13,12,12,0.375715752724217
4,4,4,7,9,5,9,8,8,7,9,5,12,11,11,0.1778792340108144
15,14,14,20,19,19,18,18,17,19,20,17,22,23,22,0.7124438582332784
2,4,4,8,9,10,5,10,10,5,9,10,12,11,13,0.4794255978067721
3,2,2,7,7,9,5,10,7,5,6,7,13,12,11,0.18091717339420843
4,2,4,10,8,8,9,6,8,10,10,8,13,12,13,0.29812987510511013
1,3,1,9,9,5,8,9,7,8,5,5,11,11,11,0.23288452858561748
3,2,2,9,5,6,9,10,10,6,7,8,11,12,11,0.18878089755507788
4,1,4,5,10,8,6,9,7,6,7,7,12,11,11,0.09768013183513902
15,15,14,17,20,18,19,20,20,17,19,20,23,21,22,0.965390002687256
15,15,14,20,18,19,20,19,20,18,18,19,22,23,21,0.7289446826080732
16,16,14,20,18,20,18,20,18,17,18,19,22,23,21,0.7511541145694984
16,16,16,17,19,18,18,18,17,18,20,18,21,23,22,0.8109892281393521
1,4,4,5,9,7,7,9,8,8,8,5,12,11,12,0.009593855092764447
2,3,1,10,5,9,6,6,9,5,5,6,13,11,13,0.09461611370840461
4,2,4,6,10,5,5,10,10,5,8,7,12,11,11,0.17688787729023403
15,15,15,18,17,20,18,18,20,19,20,17,21,22,21,0.6919713655101404
2,3,4,9,6,10,9,5,7,10,10,7,12,12,11,0.4463515841640786
14,16,14,20,18,19,18,18,18,19,20,20,23,23,22,0.9368820682562876
4,3,3,10,10,8,10,7,5,10,10,9,11,11,11,0.2442240657875413
3,4,4,6,8,10,9,9,8,10,5,10,11,12,13,0.42436040377547746
15,15,14,19,19,17,17,20,17,17,17,20,22,23,22,0.9653844711892983
2,1,3,5,6,8,5,8,9,9,5,10,11,12,13,0.22212243623798966
3,3,3,8,10,5,9,6,5,8,8,5,13,11,12,0.46657073217817313
2,3,1,9,6,6,8,6,9,7,6,9,12,11,13,0.30300183089082555
16,15,15,20,17,18,20,18,17,20,17,19,21,21,21,0.7565479756292395
2,4,3,6,7,9,7,8,5,6,6,7,13,11,12,0.13292725115824422
2,2,1,6,10,6,5,8,10,7,5,7,13,11,11,0.19373317189198236
4,2,3,9,7,5,5,6,9,8,7,7,11,12,12,0.37716567648632326
2,1,3,5,5,10,7,6,6,7,5,9,11,12,12,0.49242531319535043
14,16,14,19,20,17,19,20,17,17,19,19,23,21,23,0.5599070481060536
3,1,2,6,5,5,10,9,9,8,6,5,13,11,11,0.26640379311895024
4,2,2,10,8,9,9,7,8,9,10,9,13,11,13,0.41743447113035825
2,3,3,10,5,10,7,10,5,10,8,8,11,13,11,0.16474358883253593
4,4,2,7,5,5,8,9,6,8,6,10,13,11,12,0.2199594897927094
14,14,14,17,17,20,17,18,18,20,20,18,23,22,23,0.7043816848518353
4,2,2,5,7,10,9,8,6,9,8,9,12,12,11,0.08931692796664881
15,15,15,20,19,19,20,17,17,18,17,18,22,23,21,0.8764539829713623
2,1,1,9,9,7,9,7,9,6,7,5,12,13,11,0.054509333760374146
15,15,14,17,19,17,18,18,17,20,17,20,22,21,21,0.8130974262043443
14,15,14,18,19,19,19,17,17,19,20,19,23,23,22,0.7008278494363064
3,1,4,8,9,6,9,9,6,5,10,6,12,11,13,0.09487490642598684
16,14,16,20,19,19,19,18,18,19,18,20,23,21,23,0.8822655489978602
1,2,3,6,7,7,10,10,7,6,7,7,11,11,11,0.09614718053605353
2,2,3,5,10,9,5,5,6,8,8,9,12,12,12,0.3229623128776098
16,14,15,19,19,19,19,20,19,17,20,17,22,22,22,0.5411041745636551
1,4,1,5,10,10,5,8,7,6,5,9,11,11,12,0.3277972479877823
1,1,2,9,9,6,7,7,7,8,6,8,12,12,11,0.3752459650150489
3,1,2,10,5,5,10,10,9,6,8,7,13,13,11,0.06945934602307013
16,16,15,17,17,19,19,20,18,17,20,19,22,21,22,0.8756074201589243
4,4,2,7,9,6,5,5,5,5,7,10,13,12,12,0.3029797964735902
4,3,1,9,10,5,8,10,5,6,6,7,11,13,13,0.1152849828921998
4,1,1,6,6,7,5,5,5,8,10,5,12,11,12,0.4390047897901004
4,2,3,6,6,9,8,8,8,5,10,9,13,13,12,0.3261775328877311
1,2,2,6,5,10,9,6,6,7,8,6,12,13,11,0.07393479997293162
16,16,16,17,19,17,18,17,17,20,18,19,22,22,21,0.9985750905178312
15,15,16,20,18,20,17,17,17,17,18,18,23,22,23,0.7539279739603162
